iteration,gini,theil_l,theil_t,atkinson_25,atkinson_50,atkinson_75,num_zones,avg_num_blocks_per_zone,min_num_blocks_per_zone,max_num_blocks_per_zone,mean_zone_pop,min_zone_pop,max_zone_pop,mean_zone_hhcount,min_zone_hhcount,max_zone_hhcount
47,0.19960298789134517,0.06747616945266696,0.062441021695302905,0.015796679122418222,0.0319539560756954,0.04844851175900333,253,51.21739130434783,4,110,4453.177865612648,268.0,6187.0,1881.0790513833992,51,3428
48,0.19936385713120028,0.06694980836497039,0.061955777122002884,0.01567902562509116,0.03172058622581131,0.04809308575629245,250,52.36,16,108,4506.616,1748.0,6721.0,1903.652,447,3900
49,0.2015336659844838,0.06803100439309116,0.06333314763248438,0.01599994130576987,0.032316102866558616,0.0489179968702268,249,51.69879518072289,11,126,4524.714859437751,804.0,7226.0,1911.29718875502,169,3635
50,0.20144799679612335,0.06812567785375787,0.06325444035525862,0.015993075023740255,0.03232483279129017,0.0489600252427721,247,52.34817813765182,17,113,4561.352226720648,2052.0,7168.0,1926.7732793522266,659,4106
51,0.203942103235776,0.06992871613582458,0.06478324858456634,0.016384358944502186,0.033126399505092,0.0501919041394977,251,51.9800796812749,15,119,4488.661354581674,2103.0,6996.0,1896.0677290836654,697,3365
52,0.20001461888036484,0.06769713493385039,0.06257804569725639,0.015836765345646486,0.03204375471456811,0.048594691119823064,248,52.29032258064516,16,114,4542.959677419355,1861.0,7412.0,1919.0040322580646,295,4813
53,0.20085801271254586,0.0696728889673681,0.06362337988630899,0.016136447819875777,0.032734099309934095,0.049790784277559674,250,51.568,6,115,4506.616,1107.0,6493.0,1903.652,410,3936
54,0.20339842667280472,0.07009951741684504,0.06479416977716888,0.016388550171605343,0.033147313306693404,0.05025828795060683,251,51.852589641434264,10,119,4488.661354581674,1912.0,7637.0,1896.0677290836654,702,3585
55,0.20474637636930867,0.07195744598819583,0.06590174726460411,0.01670112812467739,0.03384851328309235,0.05143051144452859,249,51.55421686746988,12,122,4524.714859437751,1605.0,7080.0,1911.29718875502,476,3551
56,0.20345792061675624,0.06937693511627153,0.06434404979584359,0.0162687967588504,0.032884463138318054,0.04981526591186236,248,51.53225806451613,2,107,4542.959677419355,14.0,7073.0,1919.0040322580646,19,3909
57,0.20022834152518362,0.06833173851957221,0.06296583940251936,0.015943281540388266,0.03228016695440794,0.04899098507523525,251,51.49800796812749,13,128,4488.661354581674,1671.0,7293.0,1896.0677290836654,401,5083
58,0.2024298667926311,0.069143726715451,0.06396007408978814,0.0161819755217687,0.0327315781630797,0.049619099380485365,251,51.81274900398407,7,128,4488.661354581674,1107.0,7166.0,1896.0677290836654,494,4330
59,0.20328965143061561,0.0695499919403594,0.06449438484929845,0.01630215959675596,0.03294901652407434,0.04991893719985541,251,51.852589641434264,13,109,4488.661354581674,1129.0,7217.0,1896.0677290836654,369,3664
60,0.20156052219743317,0.06851611350547868,0.06336708531193243,0.016036955788238605,0.03244443419018894,0.04918701534569436,251,51.63745019920319,11,116,4488.661354581674,1108.0,6594.0,1896.0677290836654,612,3855
61,0.20316705504571975,0.06959404831620615,0.06444448150524514,0.016299660944281924,0.032959295152253265,0.049947983964607645,250,51.624,10,109,4506.616,1398.0,7457.0,1903.652,408,4018
62,0.20367608124219178,0.07001127115900177,0.06474348801353275,0.016380783138663313,0.03313340756069627,0.050225376358471796,250,51.844,9,108,4506.616,1716.0,7088.0,1903.652,498,3757
63,0.19987527182843218,0.06868112153658262,0.06274444508744714,0.015919435658590553,0.032298725750929735,0.049123946795758267,249,51.53012048192771,13,105,4524.714859437751,854.0,7703.0,1911.29718875502,448,3879
64,0.20186173043540898,0.06962553505162267,0.06385768284776602,0.016184223369469564,0.03279962711947593,0.0498305254734962,252,51.48412698412698,12,111,4470.849206349207,1167.0,6744.0,1888.5436507936508,372,3924
65,0.20267499289747137,0.0685614188234803,0.06398975151523924,0.016154989970598943,0.03260658187333554,0.04932238961448643,251,51.633466135458164,15,110,4488.661354581674,2079.0,6982.0,1896.0677290836654,616,3505
66,0.20207350549086017,0.06920293465215438,0.06375161289339784,0.01614691196322615,0.03269490386716123,0.04961302265091039,254,50.92125984251968,6,110,4435.645669291339,345.0,8088.0,1873.6732283464567,71,3472
67,0.20099104476227334,0.06812359969928604,0.06316128524466477,0.01597382142600845,0.032296934560585466,0.04893725364971824,251,51.64940239043825,14,120,4488.661354581674,1687.0,6802.0,1896.0677290836654,475,3659
68,0.20260674299791998,0.07025316741092386,0.06437224386345396,0.01631878764672534,0.033079124702452556,0.05026190965243038,251,51.52988047808765,7,108,4488.661354581674,2494.0,7379.0,1896.0677290836654,383,3889
69,0.2050103265275355,0.07134581894983442,0.06575630698210898,0.016644133006829764,0.033685697940020076,0.051101060486925864,249,51.93975903614458,6,118,4524.714859437751,704.0,7775.0,1911.29718875502,309,4686
70,0.2016696061527826,0.06796336873504738,0.06332077232412495,0.01599702411563675,0.03230619212371655,0.048890237872180276,247,52.34817813765182,18,110,4561.352226720648,2281.0,7259.0,1926.7732793522266,491,4178
71,0.2013367435922193,0.06898203466485717,0.06348586631704882,0.016080924547778985,0.03256775430339953,0.049436437968922387,250,51.888,10,104,4506.616,1532.0,8549.0,1903.652,357,3669
72,0.20270935680590807,0.06921240180735869,0.06402771573449605,0.01619828727539463,0.032763025427586245,0.0496655703459683,249,51.63453815261044,7,109,4524.714859437751,1107.0,8413.0,1911.29718875502,494,4830
73,0.20100826600706323,0.06712280045257905,0.06264140551700531,0.015821889664090483,0.0319435312047891,0.048324943686438804,252,51.166666666666664,2,107,4470.849206349207,670.0,7507.0,1888.5436507936508,118,3353
74,0.20042068197266533,0.06842484205840331,0.06297272461812947,0.01594998573420159,0.0323034609884979,0.04904087264978085,249,51.97991967871486,5,133,4524.714859437751,426.0,7376.0,1911.29718875502,136,3286
75,0.20178087209724782,0.06915253218190348,0.06366511123689751,0.016123912513746452,0.032650503516610696,0.04955705495415885,255,51.023529411764706,12,108,4418.250980392157,2131.0,6248.0,1866.3254901960784,426,3316
76,0.19922463543898125,0.06712875978256297,0.06206117496410063,0.015703211029876818,0.031771678815595394,0.0481865711892544,250,52.204,17,112,4506.616,1449.0,7412.0,1903.652,662,3248
77,0.20120170945990082,0.0688983059268773,0.06341782342392425,0.016062268746221853,0.03252847034991391,0.0493766023072163,248,51.975806451612904,14,105,4542.959677419355,2106.0,6991.0,1919.0040322580646,939,3739
78,0.20050754942995488,0.06701008288267193,0.06247130857749606,0.01577989786741707,0.03186475212007256,0.04822200530574383,251,51.34661354581673,14,129,4488.661354581674,1842.0,7053.0,1896.0677290836654,475,3318
79,0.2019513818873576,0.06854401933202177,0.06358336923365178,0.016075794233504692,0.032495300341986,0.04923037350844972,247,52.24291497975708,10,111,4561.352226720648,862.0,6876.0,1926.7732793522266,429,3534
80,0.2011394101865788,0.06783031868305317,0.06304686422574148,0.015935584427761773,0.03220022295882474,0.04876147274073184,248,52.04032258064516,19,109,4542.959677419355,1736.0,6699.0,1919.0040322580646,515,3995
81,0.20137392454950534,0.06879987714755711,0.06341993554909005,0.016059296068654083,0.032512667614501,0.04933315020321449,249,51.859437751004016,15,112,4524.714859437751,1663.0,6674.0,1911.29718875502,425,3719
82,0.19970434310871646,0.06708769190446286,0.0621098551000112,0.015712521731865436,0.031781223212067,0.04818202924051751,250,51.668,18,107,4506.616,1998.0,6952.0,1903.652,381,3558
83,0.20437180406665834,0.07098143244179729,0.0652731949335844,0.01653350743514026,0.03348304862968776,0.050822730760415435,249,52.05220883534137,13,115,4524.714859437751,1112.0,6847.0,1911.29718875502,540,3590
84,0.20431017927320055,0.06997502926695982,0.06495785818792858,0.016420563698736124,0.033182982352377266,0.050251427488836375,249,52.46184738955823,6,124,4524.714859437751,73.0,8402.0,1911.29718875502,43,4155
85,0.20198576068013696,0.06833524385253084,0.06356656905470229,0.016059748925952078,0.032440078468653044,0.04911449632254283,251,51.776892430278885,15,125,4488.661354581674,1092.0,7880.0,1896.0677290836654,720,3795
86,0.20667190060684587,0.07315089964508956,0.06703246473809057,0.01698705139521095,0.03442098808072003,0.05228086628890438,251,51.64940239043825,8,121,4488.661354581674,860.0,6940.0,1896.0677290836654,391,3809
87,0.20169521990312905,0.06835358606879754,0.06333821870065504,0.016022580130947595,0.03240045681111858,0.0490972737968175,250,51.528,16,114,4506.616,1948.0,7105.0,1903.652,420,4007
88,0.20290774857270172,0.06927365945340286,0.06408540794219743,0.01621441759369502,0.03279646755619625,0.04971392361478422,252,51.26984126984127,7,119,4470.849206349207,555.0,7079.0,1888.5436507936508,390,3965
89,0.20323382780338023,0.06929974904092154,0.0643227236420632,0.016262998188535827,0.032869057867302987,0.049780560379939276,251,51.30677290836653,5,109,4488.661354581674,426.0,7073.0,1896.0677290836654,64,3948
90,0.20368095486743348,0.07077205912831606,0.065061338117213,0.016479179738894456,0.033375095468958116,0.05066660635568432,251,51.93625498007968,11,111,4488.661354581674,1401.0,7269.0,1896.0677290836654,460,3742
91,0.20229987004599276,0.06818885529479012,0.06361418720400919,0.016066466154495584,0.032435750476822345,0.04906791634720953,249,51.75502008032129,7,108,4524.714859437751,1107.0,7217.0,1911.29718875502,465,4092
92,0.2049575654006555,0.07147059645497306,0.06582864561703441,0.016661116943119225,0.03372180272438963,0.05116664095788337,249,51.84738955823293,8,114,4524.714859437751,1239.0,6369.0,1911.29718875502,546,4357
93,0.20143850338791702,0.06836837090166809,0.06333037941632035,0.016016647128823558,0.03238707679798869,0.04908611986621736,250,51.536,6,109,4506.616,795.0,7357.0,1903.652,213,3450
94,0.1982959909633106,0.06697871835984517,0.061608279481532975,0.015610493470556652,0.031626687904763306,0.048027378368578844,252,51.67063492063492,17,132,4470.849206349207,2353.0,7083.0,1888.5436507936508,843,3411
95,0.2004796531755337,0.06832186857673178,0.06301998091217573,0.015951707977730156,0.03228802542805109,0.048991802957723096,252,51.416666666666664,8,112,4470.849206349207,960.0,6706.0,1888.5436507936508,292,3333
96,0.20327836961531467,0.06988383095769636,0.06458594838669202,0.016339178535214494,0.03305110074098694,0.05011313142204055,251,51.286852589641434,12,112,4488.661354581674,1476.0,7733.0,1896.0677290836654,475,3520
97,0.20293935402130742,0.06921618740626037,0.06413969155258589,0.016223798544091173,0.03280403600384885,0.04970296944759478,247,52.16599190283401,12,113,4561.352226720648,1973.0,7153.0,1926.7732793522266,386,3803
98,0.20303613198891982,0.06969913854273044,0.06436685336471813,0.016289419282015216,0.032959091567665966,0.04998207785872666,251,51.95617529880478,13,116,4488.661354581674,1259.0,7157.0,1896.0677290836654,570,3614
99,0.20072048887459737,0.06798370563921123,0.06298484092915735,0.01593088363285511,0.03221515691848553,0.048824440632553756,253,51.44664031620553,17,127,4453.177865612648,2454.0,7025.0,1881.0790513833992,609,3129
