iteration,gini,theil_l,theil_t,atkinson_25,atkinson_50,atkinson_75,num_zones,avg_num_blocks_per_zone,min_num_blocks_per_zone,max_num_blocks_per_zone,mean_zone_pop,min_zone_pop,max_zone_pop,mean_zone_hhcount,min_zone_hhcount,max_zone_hhcount
0,0.19577540898280504,0.06339234349040485,0.05943757086491787,0.01500424104958642,0.030273136599708206,0.04576348247465123,168,67.94047619047619,24,157,6706.273809523809,3815.0,9386.0,2832.815476190476,1556,4663
1,0.19478696302671278,0.06413095526178555,0.05940352664705604,0.01502887480211701,0.030403664311471346,0.04610683563006179,167,67.35329341317366,11,137,6746.431137724551,1790.0,9645.0,2849.7784431137725,577,5136
2,0.19494240399329457,0.06405132760398292,0.059551470314931305,0.015054233566162867,0.0304290522088152,0.04610173434281839,170,67.36470588235294,20,141,6627.376470588235,4060.0,11693.0,2799.4882352941177,1449,5181
3,0.19457624217633335,0.06392593719628392,0.05915436818918404,0.014973902412395268,0.030304131150420188,0.04596509010393379,171,66.71345029239767,18,152,6588.619883040936,3196.0,9230.0,2783.1169590643276,409,5574
4,0.19459069120894423,0.06394367996503364,0.0591748304277533,0.014979643686043542,0.03031598996978413,0.04598150293416259,170,67.20588235294117,12,144,6627.376470588235,1593.0,9394.0,2799.4882352941177,308,4703
5,0.19762945300884266,0.06620095216351188,0.06117915798676225,0.015483937658931746,0.031335423930500594,0.04753479560392104,169,67.93491124260355,22,129,6666.591715976331,3402.0,9741.0,2816.05325443787,765,5616
6,0.1966208192103953,0.06453280544245057,0.06019432236224199,0.015208504891376373,0.030717332338411896,0.04649263806316495,166,68.16867469879519,15,135,6787.0722891566265,2401.0,9466.0,2866.9457831325303,715,4786
7,0.19217621345817495,0.06157958772355522,0.057626447795971814,0.014548861362043364,0.029368129862528458,0.04443447414534751,169,67.40236686390533,14,142,6666.591715976331,2746.0,9647.0,2816.05325443787,704,4925
8,0.19335291039092148,0.06335734066311682,0.058386979235511303,0.014789756807638499,0.02995917333372855,0.04549739419170229,170,66.74705882352941,15,157,6627.376470588235,3114.0,9874.0,2799.4882352941177,1405,4706
9,0.1918899556168233,0.06200307307762172,0.057597874104127804,0.014568857784384992,0.029462699490140243,0.04465663201508485,171,67.16959064327486,22,136,6588.619883040936,3701.0,9007.0,2783.1169590643276,1111,5568
