iteration,gini,theil_l,theil_t,atkinson_25,atkinson_50,atkinson_75,num_zones,avg_num_blocks_per_zone,min_num_blocks_per_zone,max_num_blocks_per_zone,mean_zone_pop,min_zone_pop,max_zone_pop,mean_zone_hhcount,min_zone_hhcount,max_zone_hhcount
0,0.2099640000250137,0.07505624906322259,0.06898280374245755,0.01746531296619591,0.03535645234720508,0.05364831532593173,480,30.720833333333335,9,80,2347.195833333333,741.0,4382.0,991.4854166666667,192,2665
1,0.2106465058822265,0.07477240210560174,0.06921386240500131,0.017497041906341715,0.03536148331930278,0.0535582814033746,486,30.257201646090536,6,81,2318.2181069958847,989.0,4481.0,979.2448559670781,79,2677
2,0.21102247094915427,0.0756532533606648,0.06960412389616712,0.017617437504097277,0.035652793589413645,0.05407898687142754,482,30.402489626556015,1,79,2337.4564315352695,61.0,4291.0,987.3713692946058,18,3023
3,0.21291352838930525,0.07695043903822085,0.07095714409976354,0.017947094994242407,0.03629424683256832,0.05501237055409047,483,30.43271221532091,6,73,2332.616977225673,769.0,4864.0,985.3271221532091,149,3106
4,0.20930241106237601,0.07362193177587154,0.0683586274416684,0.0172661036594266,0.034869717693200464,0.0527840099237914,489,30.118609406952967,3,72,2303.99591002045,845.0,3985.0,973.2372188139059,127,2289
5,0.2138548106899775,0.07669199845016,0.07127610328699137,0.017993730545308728,0.036317961403982135,0.05494058009816427,487,30.340862422997947,6,71,2313.4579055441477,73.0,4630.0,977.2340862422998,32,3609
6,0.21362762001800017,0.07804057758772558,0.07154269581875315,0.018116464946555944,0.03668324860305061,0.05567846627214912,484,30.384297520661157,1,79,2327.7975206611573,61.0,3891.0,983.2913223140496,18,2285
7,0.20951772668170537,0.0744192110420903,0.06863289417661754,0.01736570120603209,0.03512963439391137,0.053260393987563326,484,30.355371900826448,1,73,2327.7975206611573,0.0,4082.0,983.2913223140496,19,2617
8,0.21360794379949136,0.07775199840281094,0.07144194397248428,0.018080906492597415,0.03659104845754857,0.055508729925340616,488,30.125,2,68,2308.717213114754,3.0,5141.0,975.2315573770492,21,2666
9,0.20939971833663631,0.07320048723722147,0.06819513339693055,0.01721594293954698,0.03474466005050503,0.05254899796978141,478,30.60460251046025,2,75,2357.016736401674,57.0,5015.0,995.6338912133891,15,3004
10,0.21151617741433604,0.07533791596730312,0.06982299267149147,0.017643296218046944,0.0356429187727888,0.05396539018020374,490,30.081632653061224,5,74,2299.2938775510206,892.0,4376.0,971.2510204081633,104,2682
11,0.2121434995123705,0.07635850925999862,0.0703441220755136,0.017801257874053955,0.03601352889143561,0.05460054343658971,479,30.772442588726513,2,80,2352.096033402923,61.0,4655.0,993.5553235908142,24,2628
