iteration,gini,theil_l,theil_t,atkinson_25,atkinson_50,atkinson_75
0,0.21260691622264463,0.07757749352228739,0.07090139785173377,0.017969016453259656,0.03641472752906083,0.0553160440579632
1,0.2126973103441571,0.0767268487617341,0.07068529072037279,0.017886179426110815,0.036182767497137,0.054854463634388506
2,0.21342109329406803,0.07758955763015173,0.07123943664198777,0.018035594986147374,0.03650858151308367,0.055392962744625796
3,0.2137917599770861,0.0775301866436133,0.071501448538592,0.018082348986364405,0.036563248264793846,0.05541451420422994
4,0.2115368285196877,0.0757215554554026,0.06988079912456358,0.017675839854893738,0.03574488033712275,0.05417470785961698
5,0.2127148307589186,0.07696561023511495,0.07086029741916755,0.017929121738818443,0.03627161940874335,0.05499984682601711
6,0.21239618799215626,0.07631636401481266,0.0704303454906301,0.017813686506279125,0.036021062623764366,0.05458897447760358
7,0.21088434374672316,0.07543293270983742,0.06954821007514535,0.017594091029123016,0.03558755077780473,0.053953448818295
8,0.2108371372667644,0.07590758538276116,0.06970588713470947,0.017647466797049094,0.03572700568588805,0.054219219557812726
9,0.21260253221008232,0.07652663842015779,0.07057081737109881,0.017850979939140643,0.03610148399200219,0.0547209254508384
10,0.21123576998625418,0.07594374352077622,0.06982747418911181,0.017676823940859676,0.03577815756406133,0.05427528075657406
11,0.21411432094125868,0.07867622237057816,0.07186522898187124,0.018215602858672963,0.03691632525870636,0.05607617641770157
12,0.21197436021385227,0.07570597964406352,0.07010811242066566,0.017715993875650482,0.035793429375039265,0.054203376689874294
13,0.21493231201221558,0.07855862046091971,0.07221686016764953,0.018278781117179177,0.03698809672118286,0.0560936274060454
14,0.21075408424333483,0.07402816634910456,0.06899855425283372,0.01741776371442405,0.03514654431305908,0.05314259854084624
15,0.21164631947912757,0.07602918638148294,0.06999586601742294,0.01771150977790803,0.03583456823724174,0.0543445412039788
16,0.21095516406309228,0.07614883967096939,0.06974527453782259,0.017672186520326982,0.03580251904075482,0.054364311373973795
17,0.21151266930334972,0.07598754491491298,0.07010524670113796,0.017727958211501083,0.03584781820443195,0.05433832034209485
18,0.21169794651039778,0.07518806345280697,0.06983996227034069,0.017639714949015062,0.0356176657152929,0.053896421749155876
19,0.2122751040401332,0.076147668970691,0.07038179708333041,0.017793272851777453,0.03596548637356567,0.05448676193720925
20,0.21239045517074967,0.07727623467400763,0.07082342882779136,0.017931035017867525,0.03630815861140646,0.05512323194442237
21,0.2112042394937472,0.07566912853467378,0.06970462361083288,0.01763897369151024,0.035686604502045305,0.054112030685753765
22,0.21180063830678877,0.07614511001792684,0.07013046702012772,0.017746882192815394,0.03590490865688545,0.05444207333886075
23,0.20996909832247534,0.07489961220096153,0.06900792406672494,0.017459629308605895,0.03532265211975261,0.05356678069159504
24,0.2119593004050767,0.07617080402055709,0.07014610372460797,0.017751787081133785,0.03591609305506205,0.054459956974473034
25,0.21200131181147772,0.07546046356322926,0.06996799682826553,0.017679115751477847,0.03571155026582995,0.054060837462065026
26,0.21521307252193478,0.07906497206590582,0.07251510472914623,0.018360748886243172,0.03717090830548475,0.056402765671709654
27,0.21318570966208097,0.0771002446089826,0.0710379168794872,0.01797344646144261,0.036356114954562035,0.055113647247299946
28,0.21159416473590786,0.07591349334704417,0.07009222333448413,0.017722695227313068,0.035831459219855755,0.054301972682574196
29,0.21226038008845285,0.07716015957408609,0.07066041679978108,0.017899329719959445,0.03625683666651214,0.05505227775028754
30,0.21277738160875598,0.07683307766449443,0.0707126030626544,0.01789438316927283,0.03620532161394652,0.054904118829100956
31,0.21127451912145898,0.0750748156059652,0.06955110065193303,0.017576348844690948,0.03551156316842652,0.05377389103635144
32,0.210614712991757,0.07436676430274157,0.06902701065490338,0.017440285389439203,0.035225625187574994,0.05331729207584879
33,0.21238307969641074,0.07655619483596104,0.07055651472811948,0.01784809789228181,0.036099510228381204,0.05472759440202102
34,0.21228644830114995,0.07576027582315972,0.07022661443778637,0.01774379431191897,0.035842501749015154,0.05426206210740847
35,0.2077575231874984,0.07284656474024513,0.06742151754368325,0.017044594105758315,0.0344533535936985,0.05220093573595763
36,0.2128730961812259,0.07723804083230601,0.07093099685877749,0.017955278420655474,0.03634424701954342,0.05514536885136545
37,0.21384499872937185,0.07777850076450953,0.07149890469973129,0.01809654775319136,0.036621190776395585,0.05554492589904869
38,0.21403898573186705,0.07864707511029488,0.07189968721057209,0.018217539784159187,0.03691037938256081,0.056058415442743814
39,0.21131520341819107,0.07529307961539186,0.06959615188181197,0.017599360548942733,0.03557899150997024,0.05390299300615531
40,0.21222992270302035,0.0757789674007866,0.07016552816590688,0.01773383325539024,0.035832564659309396,0.05426135408293209
41,0.21164077070287293,0.07710794211952261,0.07035795378505044,0.017838553965642046,0.036166532595051426,0.05496566030152805
42,0.21385855294626396,0.07750208464535213,0.07142660412733923,0.018070895133214804,0.03654990418004167,0.05539993642720986
43,0.21059338245465975,0.07581753906268225,0.0695698444296787,0.0176151636063957,0.03566760878549413,0.0541413074269671
44,0.21312627235432335,0.07709550511947015,0.07104869486933933,0.017971839768222364,0.03634813543269255,0.055101691607467584
45,0.20878877987215683,0.07375563970813208,0.06817374403524834,0.017236553707589475,0.034847518375018094,0.05281139214525732
46,0.21117343696275048,0.07595838333567163,0.06979977391408569,0.01767122942804611,0.03577099102647585,0.054273242782791
47,0.2129257820814938,0.07679683228800725,0.07090639398299274,0.017929407176629164,0.036247860031222046,0.05492486320050627
48,0.21400003669933002,0.07842511094672837,0.0718248553806609,0.01819029758671542,0.03683891762369851,0.055926767467200156
49,0.21223158811307327,0.07666788687111595,0.07050611102964109,0.01784489937056455,0.036112480238836175,0.05477632977179081
50,0.2115723895341455,0.07629470329916639,0.07009107000401962,0.017744452196657545,0.03591943317805757,0.05450071114920041
51,0.2130578558349593,0.07666138489901939,0.07080210940564113,0.017905227031217774,0.03619899280283656,0.054844309435389316
52,0.21373541349591144,0.07721312745911575,0.07128838778364169,0.018026111078757845,0.03644210488360178,0.0552156564614984
53,0.21060412897059577,0.07513975218535066,0.06941918759246093,0.01755245408551609,0.03548614768198799,0.05377503984641352
54,0.21150773367863698,0.07577234469473243,0.06992255277881326,0.017684677163858797,0.03576188273866088,0.054203144216947274
55,0.20913939408666612,0.075016735773035,0.06865136471860801,0.017397661382789087,0.03525556976602273,0.0535552562800764
56,0.21285201788963506,0.0774643720380997,0.07091513564701023,0.017962993254165616,0.03638528988401679,0.05525071967806039
57,0.21240203366386465,0.07659451745235764,0.07049550120795757,0.01783818670673587,0.036090707676285416,0.054732584769315085
58,0.212613125877649,0.07669489708148833,0.07063701888605209,0.01787583477089072,0.036165045346984837,0.05483105062610538
59,0.21196798031514197,0.07560515734098913,0.07007793270369611,0.01770584051104329,0.03576633180672395,0.05414969362453492
60,0.2117494332092562,0.076078909097319,0.07018191222983768,0.017750534103122106,0.035896291713474415,0.05440989828370546
61,0.21334152859886574,0.07629948995647813,0.07081223138268025,0.01788934170389689,0.03612630780806725,0.05466745505240789
